email_id,sender,subject,text,spam
f95de931-7770-4c5f-83bf-019c9757839f,noreply@workfromhome.biz,Win a Free iPhone,Claim your free iPhone by filling out this short survey.,1
10199a4d-f36f-4bd4-8485-bbb4f946cc9f,billing@onlinewarranty.org,Win a Free iPhone,You have been selected for a limited time loan offer. Apply now!,1
453c33d4-37e0-4bef-b5c4-2fff329acf94,offers@loanexpress.net,Win a Free iPhone,Your payment is pending. Click here to confirm your billing information.,1
23f3ef8d-cf39-4895-91f6-1e3776e1374c,admin@intranet.local,Team Lunch Reminder,Don't forget to submit your timesheet today.,0
b7a3e249-9c0c-48e2-becf-8c6bd248ecc5,manager@teamproject.io,Updated Document Attached,Don't forget to submit your timesheet today.,0
919975b7-5afd-4529-93c0-b58c214c2171,admin@intranet.local,Project Feedback,Can we reschedule our meeting to 3 PM tomorrow?,0
8a134740-6adb-4d68-8ff5-236bc076cacb,prizes@freegiftcards.com,Your Account is in Danger,Congratulations! You've won a $1000 gift card. Click here to claim now.,1
4f0df74d-b266-4d76-ad57-02537ee3f5bf,support@medsshop.com,Final Reminder: Update Info,Claim your free iPhone by filling out this short survey.,1
12161c7d-0dd1-4610-81cc-d23e5a0a562b,john.smith@business.org,Project Feedback,Are you attending the team event on Friday?,0
d2debfcb-e09b-413c-af19-dc30c5932017,john.smith@business.org,Schedule for Next Week,We should finalize the budget by end of this week.,0
9bdcc600-8e01-4b77-a959-92f73390085c,prizes@freegiftcards.com,Win a Free iPhone,Congratulations! You've won a $1000 gift card. Click here to claim now.,1
1f298d2a-a5d8-4ec5-adea-dd578596df5c,prizes@freegiftcards.com,You've Been Selected!,Get rich quick! Work from home and earn $5000/week.,1
5885a4e2-16b9-4fc9-b3ab-379084c53f43,offers@loanexpress.net,Earn $$$ from Home,Lowest prices on meds! No prescription needed. Order now!,1
310761b4-c5ae-4a0a-b6c8-37b46f993077,security@banknotice.com,Your Account is in Danger,Final notice: Your car warranty is about to expire.,1
58e852de-d67f-4df1-afe3-587396eacea7,jane.doe@company.com,Project Feedback,Please find the attached report for your review.,0
58e7be1c-b411-4e48-89f1-412c93b74016,prizes@freegiftcards.com,Final Reminder: Update Info,"Exclusive deal just for you. Don't miss out, click here.",1
83d1971d-9930-4ed7-a1e3-1b5e8c797209,offers@loanexpress.net,Earn $$$ from Home,This is not a scam! You have been chosen for a free vacation.,1
8e864184-1702-4145-97ec-6b707b105970,offers@loanexpress.net,Win a Free iPhone,Claim your free iPhone by filling out this short survey.,1
5c79018b-f6d0-4c28-8b7f-d140674a0868,support@medsshop.com,You've Been Selected!,"Exclusive deal just for you. Don't miss out, click here.",1
993eb6f8-3047-4e6d-a4af-95fc77cb3ed2,manager@teamproject.io,Team Lunch Reminder,Please find the attached report for your review.,0
b7018900-3bb4-4f02-99a6-d1052d2cf842,prizes@freegiftcards.com,Act Now: Limited Offer!,You have been selected for a limited time loan offer. Apply now!,1
0617698d-afd6-49de-8a3a-848c69f496a1,prizes@freegiftcards.com,Final Reminder: Update Info,"Exclusive deal just for you. Don't miss out, click here.",1
0a2f153a-68a3-4894-98e2-d53ab6bcd7fc,security@banknotice.com,Your Account is in Danger,Get rich quick! Work from home and earn $5000/week.,1
02001b26-a530-40ae-8273-28e4af114854,john.smith@business.org,Schedule for Next Week,Can we reschedule our meeting to 3 PM tomorrow?,0
5e32b62a-86db-4956-b055-7822a44f94b6,jane.doe@company.com,Project Feedback,Please find the attached report for your review.,0
87e71c3a-f4bd-440e-9d74-ffcc1a17db23,hr@company.com,Birthday Wishes,Thanks for your feedback on the latest project.,0
ba097381-59c3-4a20-93be-566a59bf27ba,jane.doe@company.com,Schedule for Next Week,Can we reschedule our meeting to 3 PM tomorrow?,0
